0.1,.065,.09,.20,.40, .075,	.105,	.250,	.450
0.3,.060,	.090,	.175,	,	.035,	.095,	.325,	
0.5,.060,	.105,	,,		.060,	.100,	,	
0.7,.085,	.135,	,,	.055,	.090,	,		






