0,	  .605,	.885,	1,	1,	1,	1,	1,	1,	1,	.290,	.600,	.890,	.995,	1,	1,	1,	1,	1,.170,	.400,	.690,	.990,	1,	1,	1,	1,	1
0.25,	.385,	.795,	1,	.985,	1,	1,	1,	1,	1,	.165,	.495,	.770,	.945,	.990,	1,	1	,1,	1,.115,	.225,	.535,	.855,	.970	,1	,1	,1	,1
0.50,	.290,	.705,	1,	.945,	1,	1,	1	,1,	1,	.105,	.365,	.735,	.715,	.960,	1	,1,	1,	1,.100,	.185	,.495,	.555,	.790,	.985,	.995,	1,	1
0.75,	.250,	.670,	1,	.730,	1,	1,	1,	1,	1,	.135,	.220,	.685,	.350,	.760,	1,	.870,	.995,	1,.080	,.125	,.390	,.180	,.555	,.920	,.685	,.960	,1
0.95,	.280,	.685,	.990,	.570,	.990,	1,	.945,	1	,1,	.185,	.255,	.660,	.215,	.610,	.985,	.385,	.925,	1,.095,	.150,	.395,	.135,	.360,	.855,	.165	,.600	,.995






