phi,10,10,25,25,50,50,10,10,25,25,50,50
"0	",".045	",".150	",".050	",".075	",".055	",".075	",".060	",".135	",".025	",".050	",".030	",".035	"
"0.25	",".040	",".155	",".050	",".110	",".025	",".035	",".050	",".195	",".035	",".060	",".045	",".075	"
"0.5	",".055	",".270	",".040	",".100	",".060	",".095	",".065	",".215	",".045	",".130	",".045	",".080	"
"0.75	",".075	",".395	",".055	",".200	",".055	",".110	",".065	",".325	",".050	",".200	",".050	",".130	"
"0.95	",".090	",".425	",".065	",".340	",".060	",".255	",".090	",".450	",".065	",".305	",".050	",".265	"
